Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
4728,HIT,HIT_2,HIT_2,18273,18397,18323,18347,5,1,S,1,ASL_2011_06_08_Brady_scene13-camera1.mov,Lexical Signs,HIT
4726,HIT,HIT-1p,HIT-1p,1216,1329,1266,1279,S,1,S,1,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,HIT
4730,HITCHHIKE,HITCHHIKE,HITCHHIKE+,4239,4359,4289,4309,10,,10,,ASL_2011_06_14_Brady_scene34-camera1.mov,Lexical Signs,HITCHHIKE
4731,HOCKEY,HOCKEY,HOCKEY+,4480,4610,4530,4560,X,B-L,X,B-L,ASL_2011_06_14_Brady_scene34-camera1.mov,Lexical Signs,HOCKEY
4739,HOLD,HOLD,HOLD,4708,4834,4758,4784,S,,S,,ASL_2011_06_14_Brady_scene34-camera1.mov,Lexical Signs,HOLD
4746,HOME,HOME,HOME,2419,2539,2469,2489,flat-O,,flat-O,,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HOME
4747,HOME,HOME,HOME,187,313,237,263,flat-O,,flat-O,,ASL_2011_07_19_Brady_scene23-camera1.mov,Lexical Signs,HOME
4750,HOMEWORK,HOMEWORK,HOMEWORK,2668,2787,2718,2737,5,psv,S,S,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HOMEWORK
4752,HONEST,HONEST,HONEST,1646,1776,1696,1726,U,B-L,U,B-L,ASL_2011_07_22_Brady_scene12-camera1.mov,Lexical Signs,HONEST
4754,HONEY/DEAR,HONEY/DEAR,HONEY/DEAR,2906,3031,2956,2981,U,,U,,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HONEY/DEAR
4756,HONEYMOON,HONEYMOON,HONEYMOON,3444,3571,3494,3521,25,,25,,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HONEYMOON
220,HONOR,(1h)HONOR,(1h)HONOR,4341,4463,4391,4413,U,,U,,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HONOR
4762,HOPE,HOPE,HOPE+,4565,4685,4615,4635,B-L,B-L,bent-B-L,bent-B-L,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HOPE
4765,HORSE,HORSE,HORSE++,5021,5146,5071,5096,U-L,,U-L,,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HORSE
40249,"HORSE+ICL:S\holding moving pole\""""","HORSE+ICL:S\holding moving pole\""""","HORSE+ICL:S\holding moving pole\""++""",672,865,722,815,U-L,,S,S,ASL_2011_06_14_Brady_scene56-camera1.mov,Compound Signs,"HORSE+ICL:S\holding moving pole\"""""
40252,HORSE+RIDE-ON,HORSE+RIDE-ON,HORSE+RIDE-ON+,271,426,321,376,U-L,,3,B-L,ASL_2011_06_14_Brady_scene56-camera1.mov,Compound Signs,HORSE+RIDE-ON
4768,HOSPITAL,HOSPITAL,HOSPITAL,5521,5642,5571,5592,U-L,,U-L,,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HOSPITAL
527,HOSPITAL_2,(H)HOSPITAL_2,(H)HOSPITAL_2,5979,6107,6029,6057,U,,U,,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HOSPITAL_2
4773,HOT,HOT,HOT,6250,6363,6300,6313,crvd-5,,crvd-5,,ASL_2011_06_14_Brady_scene35-camera1.mov,Lexical Signs,HOT
4777,HOTEL,HOTEL,HOTEL+,1282,1412,1332,1362,U,1,U,1,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,HOTEL
4784,HOUR,HOUR_3,HOUR_3,2643,2772,2693,2722,1,B-L,1,B-L,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,HOUR
4786,HOUSE,HOUSE,HOUSE,2963,3082,3013,3032,B-xd,B-xd,B-xd,B-xd,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,HOUSE
4790,HOUSE,HOUSE-pl,HOUSE-pl,3244,3402,3294,3352,B-xd,B-xd,B-xd,B-xd,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,HOUSE
4795,HOW,HOW,HOW+,3844,3972,3894,3922,10,10,10,10,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,HOW
4796,HOW,HOW,HOW+,4483,4613,4533,4563,10,10,10,10,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,HOW
223,HOW-MANY,(1h)HOW-MANY,(1h)HOW-MANY,5539,5659,5589,5609,S,,crvd-5,,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,HOW-MANY
4802,HOW-MANY,HOW-MANY,HOW-MANY,5084,5203,5134,5153,S,S,crvd-5,crvd-5,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,HOW-MANY
130,HUMBLE,(1)HUMBLE,(1)HUMBLE,7265,7389,7315,7339,1,B-L,B-L,B-L,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,HUMBLE
4813,HUNDRED,HUNDRED,HUNDRED,8731,8857,8781,8807,C,,C,,ASL_2011_06_14_Brady_scene37-camera1.mov,Number Signs,HUNDRED
700,HUNTING,(U-L)HUNTING,(U-L)HUNTING,1133,1252,1183,1202,U-L,U-L,U-L,U-L,ASL_2011_07_19_Brady_scene60-camera1.mov,Lexical Signs,HUNTING
4835,HURT,HURT_3,HURT_3,1374,1508,1424,1458,bent-1,bent-1,bent-1,bent-1,ASL_2011_07_19_Brady_scene83-camera1.mov,Lexical Signs,HURT
4856,ICE-SKATE,ICE-SKATE,ICE-SKATE+,1852,2015,1902,1965,X,X,X,X,ASL_2011_07_19_Brady_scene85-camera1.mov,Lexical Signs,ICE-SKATE
4880,IF,IF,IF++,2453,2599,2503,2549,I,,I,,ASL_2011_07_19_Brady_scene105-camera1.mov,Lexical Signs,IF
4883,IGNITION-ON,IGNITION-ON,IGNITION-ON,1895,2019,1945,1969,X-over-thumb,,X-over-thumb,,ASL_2011_07_22_Brady_scene13-camera1.mov,Lexical Signs,IGNITION-ON
4884,IGNITION-ON,IGNITION-ON,IGNITION-ON,2185,2312,2235,2262,X-over-thumb,,X-over-thumb,,ASL_2011_07_22_Brady_scene13-camera1.mov,Lexical Signs,IGNITION-ON
4887,IGNORE,IGNORE,IGNORE,284,401,334,351,4,,4,,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IGNORE
4893,ILLEGAL,ILLEGAL,ILLEGAL,4695,4820,4745,4770,L,B-L,L,B-L,ASL_2011_06_14_Brady_scene21-camera1.mov,Lexical Signs,ILLEGAL
4894,ILLEGAL,ILLEGAL,ILLEGAL,538,663,588,613,L,B-L,L,B-L,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,ILLEGAL
4898,IMAGINE,IMAGINE,IMAGINE+,764,899,814,849,I,I,I,I,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IMAGINE
4900,IMAGINE,IMAGINE_2/PARANOID,IMAGINE_2/PARANOID+,545,674,595,624,I,I,I,I,ASL_2011_07_19_Brady_scene26-camera1.mov,Lexical Signs,IMAGINE
4904,IMMATURE,IMMATURE,IMMATURE++,965,1093,1015,1043,I,,I,,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IMMATURE
4908,IMPORTANT,IMPORTANT,IMPORTANT,1430,1558,1480,1508,F,F,F,F,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IMPORTANT
4911,IMPOSSIBLE,IMPOSSIBLE,IMPOSSIBLE+,1668,1802,1718,1752,Y,B-L,Y,B-L,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IMPOSSIBLE
4916,IMPRESS,IMPRESS-1p,IMPRESS-1p,2120,2239,2170,2189,10,B-L,10,B-L,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IMPRESS
4918,IMPRESS-MEMORY,IMPRESS-MEMORY,IMPRESS-MEMORY,3033,3166,3083,3116,10,,10,,ASL_2011_07_22_Brady_scene50-camera1.mov,Lexical Signs,IMPRESS-MEMORY
4920,IMPROVE,IMPROVE,IMPROVE,2626,2758,2676,2708,B-L,psv,B-L,psv,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IMPROVE
4924,IMPROVE,IMPROVE-A-LOT,IMPROVE-A-LOT,3225,3358,3275,3308,B-L,psv,B-L,psv,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IMPROVE
207813,IN,IN,IN,3463,3579,3513,3529,flat-O,C,flat-O,C,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,IN
4930,IN,IN,IN+,4364,4489,4414,4439,flat-O,C,flat-O,C,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,IN
4936,IN-FIVE-YEARS,IN-FIVE-YEARS,IN-FIVE-YEARS,2814,2936,2864,2886,S,S,5,S,ASL_2011_06_14_Brady_scene13-camera1.mov,Lexical Signs,IN-FIVE-YEARS
4938,IN-FOUR-YEARS,IN-FOUR-YEARS,IN-FOUR-YEARS,2577,2698,2627,2648,S,S,4,S,ASL_2011_06_14_Brady_scene13-camera1.mov,Lexical Signs,IN-FOUR-YEARS
4940,IN-THREE-YEARS,IN-THREE-YEARS,IN-THREE-YEARS,2347,2465,2397,2415,S,S,3,S,ASL_2011_06_14_Brady_scene13-camera1.mov,Lexical Signs,IN-THREE-YEARS
4947,INCLUDE/INVOLVE,INCLUDE/INVOLVE,INCLUDE/INVOLVE,3690,3804,3740,3754,5,C,flat-O,C,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,INCLUDE/INVOLVE
4948,INCLUDE/INVOLVE,INCLUDE/INVOLVE,INCLUDE/INVOLVE,3554,3672,3604,3622,crvd-5,crvd-B,flat-O,crvd-B,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INCLUDE/INVOLVE
4949,INCLUDE/INVOLVE,INCLUDE/INVOLVE,INCLUDE/INVOLVE,3001,3131,3051,3081,crvd-sprd-B,C,flat-O,C,ASL_2011_07_19_Brady_scene26-camera1.mov,Lexical Signs,INCLUDE/INVOLVE
4958,INCREASE,INCREASE,INCREASE,3916,4031,3966,3981,U,U,U,U,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,INCREASE
4964,INDEPENDENT,INDEPENDENT,INDEPENDENT,4185,4301,4235,4251,I,I,I,I,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,INDEPENDENT
4968,INDIVIDUAL,INDIVIDUAL-pl,INDIVIDUAL-pl,4675,4823,4725,4773,I,I,I,I,ASL_2011_06_14_Brady_scene39-camera1.mov,Lexical Signs,INDIVIDUAL
4974,INFLATE,INFLATE,INFLATE,6234,6358,6284,6308,flat-O,B,crvd-B,B,ASL_2011_06_14_Brady_scene10-camera1.mov,Lexical Signs,INFLATE
4979,INFORM,INFORM,INFORM,2899,3025,2949,2975,flat-O,flat-O,5,5,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INFORM
4980,INFORM,INFORM,INFORM,2952,3074,3002,3024,flat-O,flat-O,5,5,ASL_2011_07_19_Brady_scene17-camera1.mov,Lexical Signs,INFORM
4981,INFORM,INFORM,INFORM,3437,3555,3487,3505,flat-O,flat-O,5,5,ASL_2011_07_22_Brady_scene48-camera1.mov,Lexical Signs,INFORM
4986,INFORM,INFORM-1p,INFORM-1p,3127,3254,3177,3204,flat-O,flat-O,crvd-sprd-B,crvd-sprd-B,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INFORM
4990,INFORM,INFORM-ALL,INFORM-ALL,2660,2784,2710,2734,flat-O,flat-O,5,5,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INFORM
382,INJECT,(3)INJECT,(3)INJECT,3900,4013,3950,3963,3,,K,,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INJECT
383,INJECT,(3)INJECT,(3)INJECT,2450,2564,2500,2514,3,,K,,ASL_2011_07_22_Brady_scene43-camera1.mov,Lexical Signs,INJECT
4996,INJECT,INJECT,INJECT,3652,3768,3702,3718,L,,A,,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INJECT
207817,INJECT,INJECT,INJECT,2344,2470,2394,2420,L,,bent-1,,ASL_2011_07_22_Brady_scene43-camera1.mov,Lexical Signs,INJECT
5001,INNOCENT,INNOCENT,INNOCENT,4129,4244,4179,4194,U,U,U,U,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INNOCENT
5004,INSPIRE,INSPIRE,INSPIRE,4612,4737,4662,4687,flat-O,flat-O,5,5,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INSPIRE
5010,INSTITUTE,INSTITUTE,INSTITUTE+,5109,5237,5159,5187,I,I,I,I,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INSTITUTE
5011,INSTITUTE,INSTITUTE,INSTITUTE+,1125,1250,1175,1200,I,I,I,I,ASL_2011_07_19_Brady_scene57-camera1.mov,Lexical Signs,INSTITUTE
5012,INSTITUTE,INSTITUTE,INSTITUTE++,5850,5989,5900,5939,I,I,I,I,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INSTITUTE
5017,INSULT,INSULT,INSULT,5354,5473,5404,5423,1,,1,,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INSULT
5022,INSURANCE/INFECTION,INSURANCE/INFECTION,INSURANCE/INFECTION,755,881,805,831,I,,I,,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,INSURANCE/INFECTION
5025,INTERCOURSE,INTERCOURSE,INTERCOURSE+,386,522,436,472,V,V,V,V,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERCOURSE
5029,INTERESTING,INTERESTING,INTERESTING,925,1044,975,994,5,5,8,8,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERESTING
5033,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,1395,1529,1445,1479,I,I,I,I,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERNATIONAL
5036,INTERPRET,INTERPRET,INTERPRET+,1628,1763,1678,1713,F,F,F,F,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERPRET
207989,INTERPRET+AGENT,INTERPRET+AGENT,INTERPRET++AGENT,1894,2031,1944,1981,F,F,B-L,B-L,ASL_2011_06_14_Brady_scene41-camera1.mov,Compound Signs,INTERPRET+AGENT
5043,INTERRUPT,INTERRUPT-1p,INTERRUPT-1p,2129,2258,2179,2208,B-L,B-L,B-L,B-L,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERRUPT
5045,INTERVIEW,INTERVIEW,INTERVIEW+,2627,2760,2677,2710,I,I,I,I,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTERVIEW
5052,INTRODUCE,INTRODUCE,INTRODUCE,2677,2798,2727,2748,B-L,B-L,bent-B-L,bent-B-L,ASL_2011_06_14_Brady_scene29-camera1.mov,Lexical Signs,INTRODUCE
5053,INTRODUCE,INTRODUCE,INTRODUCE,2848,2970,2898,2920,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,INTRODUCE
5055,INVEST,INVEST,INVEST+,652,804,702,754,3,3,3,3,ASL_2011_07_19_Brady_scene99-camera1.mov,Lexical Signs,INVEST
5061,IRON-CLOTHES,IRON-CLOTHES,IRON-CLOTHES+++,750,877,800,827,S,B-L,S,B-L,ASL_2011_06_14_Brady_scene42-camera1.mov,Lexical Signs,IRON-CLOTHES
5062,IRON-CLOTHES,IRON-CLOTHES,IRON-CLOTHES+++,3318,3466,3368,3416,A,B-L,A,B-L,ASL_2011_07_22_Brady_scene45-camera1.mov,Lexical Signs,IRON-CLOTHES
5063,IRON-CLOTHES,IRON-CLOTHES_2,IRON-CLOTHES_2+++,3042,3211,3092,3161,Y,B-L,Y,B-L,ASL_2011_07_22_Brady_scene45-camera1.mov,Lexical Signs,IRON-CLOTHES
5067,ISLAND/INTEREST,ISLAND/INTEREST,ISLAND/INTEREST+,664,811,714,761,I,S,I,S,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,ISLAND/INTEREST
5068,ISLAND/INTEREST,ISLAND/INTEREST,ISLAND/INTEREST+,1175,1322,1225,1272,I,S,I,S,ASL_2011_06_14_Brady_scene42-camera1.mov,Lexical Signs,ISLAND/INTEREST
5071,ISOLATED,ISOLATED,ISOLATED+,985,1125,1035,1075,I,B-L,I,B-L,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,ISOLATED
5082,IX,IX-2p,IX-2p,842,958,892,908,1,,1,,ASL_2011_07_22_Brady_scene36-camera1.mov,Lexical Signs,IX
5097,IX,IX:i,IX:i,3924,4051,3974,4001,1,,1,,ASL_2011_06_14_Brady_scene32-camera1.mov,Lexical Signs,IX
5098,IX,IX:i,IX:i,1641,1769,1691,1719,1,,1,,ASL_2011_07_19_Brady_scene37-camera1.mov,Lexical Signs,IX
5099,IX,IX:i,IX:i,69,189,119,139,1,,1,,ASL_2011_07_19_Brady_scene114-camera1.mov,Lexical Signs,IX
5080,IX-1p-pl,IX-1p-pl-arc,IX-1p-pl-arc,2599,2726,2649,2676,1,,1,,ASL_2011_07_22_Brady_scene25-camera1.mov,Lexical Signs,IX-1p-pl
5078,IX-1p-pl-2,IX-1p-pl-2:i,IX-1p-pl-2+:i,439,585,489,535,K,,K,,ASL_2011_07_22_Brady_scene15-camera1.mov,Lexical Signs,IX-1p-pl-2
5088,IX-honorific,IX-honorific:i,IX-honorific:i,299,416,349,366,B-L,,B-L,,ASL_2011_07_19_Brady_scene114-camera1.mov,Lexical Signs,IX-honorific
5085,IX-pl,IX-2p-pl-arc,IX-2p-pl-arc,50,177,100,127,1,,1,,ASL_2011_07_19_Brady_scene116-camera1.mov,Lexical Signs,IX-pl
5086,IX-pl,IX-2p-pl-arc,IX-2p-pl-arc,1750,1879,1800,1829,1,,1,,ASL_2011_07_22_Brady_scene36-camera1.mov,Lexical Signs,IX-pl
5091,IX-pl,IX-pl-arc,IX-pl-arc,1423,1538,1473,1488,1,,1,,ASL_2011_07_19_Brady_scene114-camera1.mov,Lexical Signs,IX-pl
5102,J,J,J,5715,5835,5765,5785,I,,I,,ASL_2011_06_14_Brady_scene42-camera1.mov,Lexical Signs,J
207824,JAW,JAW,JAW+,9632,9770,9682,9720,1,,1,,ASL_2011_06_14_Brady_scene42-camera1.mov,Lexical Signs,JAW
5112,JEALOUS,JEALOUS,JEALOUS,9871,9982,9921,9932,I,,I,,ASL_2011_06_14_Brady_scene42-camera1.mov,Lexical Signs,JEALOUS
5122,JEWISH,JEWISH,JEWISH+,3230,3357,3280,3307,crvd-sprd-B,,flat-O,,ASL_2011_06_14_Brady_scene42-camera1.mov,Lexical Signs,JEWISH
5123,JEWISH,JEWISH,JEWISH+,1800,1921,1850,1871,fanned-flat-O,,flat-O,,ASL_2011_06_14_Brady_scene43-camera1.mov,Lexical Signs,JEWISH
5128,JOIN,JOIN,JOIN,5234,5346,5284,5296,U,C,U,C,ASL_2011_06_14_Brady_scene43-camera1.mov,Lexical Signs,JOIN
5132,JUDGE,JUDGE,JUDGE,8691,8814,8741,8764,V,1,V,1,ASL_2011_06_14_Brady_scene43-camera1.mov,Lexical Signs,JUDGE
5133,JUGGLE,JUGGLE,JUGGLE+,1796,1950,1846,1900,S,S,crvd-5,crvd-5,ASL_2011_06_14_Brady_scene25-camera1.mov,Lexical Signs,JUGGLE
5137,JUMP,JUMP,JUMP,9862,9990,9912,9940,V,B-L,V,B-L,ASL_2011_06_14_Brady_scene43-camera1.mov,Lexical Signs,JUMP
5142,JUMP-FORWARD,JUMP-FORWARD,JUMP-FORWARD,11288,11413,11338,11363,crvd-U,flat-B,V,flat-B,ASL_2011_06_14_Brady_scene43-camera1.mov,Lexical Signs,JUMP-FORWARD
5143,JUMP-FORWARD,JUMP-FORWARD,JUMP-FORWARD,11543,11673,11593,11623,crvd-V,flat-B,V,flat-B,ASL_2011_06_14_Brady_scene43-camera1.mov,Lexical Signs,JUMP-FORWARD
5145,JUMPROPE,JUMPROPE,JUMPROPE+,214,359,264,309,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,JUMPROPE
5149,JUNIOR,JUNIOR,JUNIOR+,472,659,522,609,1,5,1,5,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,JUNIOR
5151,JUNIOR_2,JUNIOR_2,JUNIOR_2++,739,871,789,821,1,B-L,1,B-L,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,JUNIOR_2
5158,K,K,K,966,1090,1016,1040,K,,K,,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,K
5162,KANGAROO,KANGAROO,KANGAROO++,1197,1341,1247,1291,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KANGAROO
5166,KARATE,KARATE,KARATE,1659,1784,1709,1734,B-L,B-L,B-L,B-L,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KARATE
5170,KEEP,KEEP,KEEP,2956,3070,3006,3020,K,K,K,K,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KEEP
5171,KEEP,KEEP,KEEP,87,207,137,157,K,K,K,K,ASL_2011_07_22_Brady_scene46-camera1.mov,Lexical Signs,KEEP
207662,KEEP-IN-MIND,KEEP-IN-MIND,KEEP-IN-MIND,1969,2094,2019,2044,X,,X,,ASL_2011_06_08_Brady_scene15-camera1.mov,Lexical Signs,KEEP-IN-MIND
207831,KEY,KEY,KEY+,4638,4768,4688,4718,X,B-L,X,B-L,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KEY
5185,KEY,KEY,KEY++,2289,2426,2339,2376,X-over-thumb,B-L,X-over-thumb,B-L,ASL_2011_07_22_Brady_scene30-camera1.mov,Lexical Signs,KEY
207832,KICK,KICK,KICK,5180,5300,5230,5250,B-xd,B-xd,B-xd,B-xd,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KICK
5189,KICK,KICK,KICK+,2153,2285,2203,2235,B-xd,flat-B,B-xd,flat-B,ASL_2011_07_19_Brady_scene89-camera1.mov,Lexical Signs,KICK
5192,KICK-OFF,KICK-OFF,KICK-OFF,5405,5523,5455,5473,8,B-L,5,B-L,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KICK-OFF
5196,KID,KID,KID,5613,5737,5663,5687,bent-horns,,bent-horns,,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KID
207937,KIDNEY,KIDNEY,KIDNEY+++,6126,6274,6176,6224,bent-1,,bent-1,,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KIDNEY
5200,KILL,KILL,KILL,6409,6524,6459,6474,G,B-L,G,B-L,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KILL
5201,KILL,KILL,KILL,6673,6787,6723,6737,1,B-L,1,B-L,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,KILL
5205,KIND,KIND,KIND,126,265,176,215,K,K,K,K,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KIND
344,KINDERGARTEN,(2h)KINDERGARTEN,(2h)KINDERGARTEN,515,643,565,593,K,B-L,K,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KINDERGARTEN
5208,KINDERGARTEN,KINDERGARTEN,KINDERGARTEN,739,883,789,833,K,,K,,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KINDERGARTEN
5212,KING,KING,KING,1536,1672,1586,1622,K,,K,,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KING
40293,KING+AREA,KING+AREA,KING+AREA,1093,1246,1143,1196,K,,5,5,ASL_2011_06_14_Brady_scene45-camera1.mov,Compound Signs,KING+AREA
5216,KISS,KISS_2,KISS_2,1985,2107,2035,2057,flat-O,flat-O,flat-O,flat-O,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KISS
646,KITE,(rd)KITE,(rd)KITE,2721,2869,2771,2819,1,B-L,1,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KITE
5220,KITE,KITE,KITE,5910,6038,5960,5988,B-L,1,B-L,1,ASL_2011_06_14_Brady_scene20-camera1.mov,Lexical Signs,KITE
5224,KNEEL,KNEEL,KNEEL,4091,4244,4141,4194,V,B-L,crvd-V,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KNEEL
5227,KNEEL,KNEELING,KNEELING,2936,3072,2986,3022,crvd-V,B-L,crvd-V,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KNEEL
690,KNIFE,(U)KNIFE,(U)KNIFE+,4683,4814,4733,4764,U,U,U,U,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KNIFE
5230,KNIFE,KNIFE,KNIFE+,4466,4595,4516,4545,1,1,1,1,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KNIFE
5234,KNOCK,KNOCK,KNOCK+,4951,5073,5001,5023,A,B-L,A,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KNOCK
5241,KNOW,KNOW,KNOW++,218,352,268,302,bent-B-L,,bent-B-L,,ASL_2011_06_14_Brady_scene16-camera1.mov,Lexical Signs,KNOW
5242,KNOW,KNOW,KNOW++,5174,5298,5224,5248,bent-B-L,,bent-B-L,,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,KNOW
40308,KNOW+(1h)NEG,KNOW+(1h)NEG,KNOW+(1h)NEG,1461,1573,1511,1523,B-L,,B-L,,ASL_2011_06_08_Brady_scene38-camera1.mov,Compound Signs,KNOW+NEG
40311,KNOW+(1h)NEG,KNOW+(1h)NEG,KNOW+(1h)NEG,5689,5803,5739,5753,B-L,,B-L,,ASL_2011_06_14_Brady_scene45-camera1.mov,Compound Signs,KNOW+NEG
5251,L,L,L,6232,6360,6282,6310,L,,L,,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,L
5253,LABEL,LABEL,LABEL,45,180,95,130,U,B-L,U,B-L,ASL_2011_06_14_Brady_scene46-camera1.mov,Lexical Signs,LABEL
5255,LACROSSE,LACROSSE_2,LACROSSE_2++,634,768,684,718,S,S,S,S,ASL_2011_06_14_Brady_scene46-camera1.mov,Lexical Signs,LACROSSE
5259,LADDER,LADDER,LADDER++,925,1068,975,1018,5,5,A,A,ASL_2011_06_14_Brady_scene46-camera1.mov,Lexical Signs,LADDER
5262,LAID-UP,LAID-UP,LAID-UP,2416,2534,2466,2484,crvd-V,crvd-V,crvd-V,crvd-V,ASL_2011_06_14_Brady_scene46-camera1.mov,Lexical Signs,LAID-UP
5264,LANGUAGE,LANGUAGE,LANGUAGE,3438,3558,3488,3508,L,L,L,L,ASL_2011_06_14_Brady_scene46-camera1.mov,Lexical Signs,LANGUAGE
5266,LANGUAGE,LANGUAGE-pl,LANGUAGE-pl,3669,3809,3719,3759,L,L,L,L,ASL_2011_06_14_Brady_scene46-camera1.mov,Lexical Signs,LANGUAGE
